,div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,PredictedResult
9509,E0,13/01/18,Watford,Southampton,2,2,D,0.0,2.0,A,2017-18,A
9510,E0,13/01/18,West Brom,Brighton,2,0,H,1.0,0.0,H,2017-18,H
9511,E0,14/01/18,Bournemouth,Arsenal,2,1,H,0.0,0.0,D,2017-18,A
9512,E0,14/01/18,Liverpool,Man City,4,3,H,1.0,1.0,D,2017-18,H
9513,E0,15/01/18,Man United,Stoke,3,0,H,2.0,0.0,H,2017-18,H
9514,E0,20/01/18,Arsenal,Crystal Palace,4,1,H,4.0,0.0,H,2017-18,H
9515,E0,20/01/18,Brighton,Chelsea,0,4,A,0.0,2.0,A,2017-18,A
9516,E0,20/01/18,Burnley,Man United,0,1,A,0.0,0.0,D,2017-18,A
9517,E0,20/01/18,Everton,West Brom,1,1,D,0.0,1.0,A,2017-18,H
9518,E0,20/01/18,Leicester,Watford,2,0,H,1.0,0.0,H,2017-18,H
9519,E0,20/01/18,Man City,Newcastle,3,1,H,1.0,0.0,H,2017-18,H
9520,E0,20/01/18,Stoke,Huddersfield,2,0,H,0.0,0.0,D,2017-18,H
9521,E0,20/01/18,West Ham,Bournemouth,1,1,D,0.0,0.0,D,2017-18,A
9522,E0,21/01/18,Southampton,Tottenham,1,1,D,1.0,1.0,D,2017-18,A
9523,E0,22/01/18,Swansea,Liverpool,1,0,H,1.0,0.0,H,2017-18,H
9524,E0,30/01/18,Huddersfield,Liverpool,0,3,A,0.0,2.0,A,2017-18,A
9525,E0,30/01/18,Swansea,Arsenal,3,1,H,1.0,1.0,D,2017-18,A
9526,E0,30/01/18,West Ham,Crystal Palace,1,1,D,1.0,1.0,D,2017-18,D
9527,E0,31/01/18,Chelsea,Bournemouth,0,3,A,0.0,0.0,D,2017-18,H
9528,E0,31/01/18,Everton,Leicester,2,1,H,2.0,0.0,H,2017-18,A
9529,E0,31/01/18,Man City,West Brom,3,0,H,1.0,0.0,H,2017-18,H
9530,E0,31/01/18,Newcastle,Burnley,1,1,D,0.0,0.0,D,2017-18,D
9531,E0,31/01/18,Southampton,Brighton,1,1,D,0.0,1.0,A,2017-18,H
9532,E0,31/01/18,Stoke,Watford,0,0,D,0.0,0.0,D,2017-18,H
9533,E0,31/01/18,Tottenham,Man United,2,0,H,2.0,0.0,H,2017-18,H
9534,E0,3/2/2018,Arsenal,Everton,5,1,H,4.0,0.0,H,2017-18,H
9535,E0,3/2/2018,Bournemouth,Stoke,2,1,H,0.0,1.0,A,2017-18,A
9536,E0,3/2/2018,Brighton,West Ham,3,1,H,1.0,1.0,D,2017-18,H
9537,E0,3/2/2018,Burnley,Man City,1,1,D,0.0,1.0,A,2017-18,A
9538,E0,3/2/2018,Leicester,Swansea,1,1,D,1.0,0.0,H,2017-18,H
9539,E0,3/2/2018,Man United,Huddersfield,2,0,H,0.0,0.0,D,2017-18,H
9540,E0,3/2/2018,West Brom,Southampton,2,3,A,1.0,2.0,A,2017-18,A
9541,E0,4/2/2018,Crystal Palace,Newcastle,1,1,D,0.0,1.0,A,2017-18,D
9542,E0,4/2/2018,Liverpool,Tottenham,2,2,D,1.0,0.0,H,2017-18,D
9543,E0,5/2/2018,Watford,Chelsea,4,1,H,1.0,0.0,H,2017-18,H
9544,E0,10/2/2018,Everton,Crystal Palace,3,1,H,0.0,0.0,D,2017-18,A
9545,E0,10/2/2018,Man City,Leicester,5,1,H,1.0,1.0,D,2017-18,H
9546,E0,10/2/2018,Stoke,Brighton,1,1,D,0.0,1.0,A,2017-18,D
9547,E0,10/2/2018,Swansea,Burnley,1,0,H,0.0,0.0,D,2017-18,H
9548,E0,10/2/2018,Tottenham,Arsenal,1,0,H,0.0,0.0,D,2017-18,D
9549,E0,10/2/2018,West Ham,Watford,2,0,H,1.0,0.0,H,2017-18,H
9550,E0,11/2/2018,Huddersfield,Bournemouth,4,1,H,2.0,1.0,H,2017-18,H
9551,E0,11/2/2018,Newcastle,Man United,1,0,H,0.0,0.0,D,2017-18,D
9552,E0,11/2/2018,Southampton,Liverpool,0,2,A,0.0,2.0,A,2017-18,D
9553,E0,12/2/2018,Chelsea,West Brom,3,0,H,1.0,0.0,H,2017-18,H
9554,E0,24/02/18,Bournemouth,Newcastle,2,2,D,0.0,2.0,A,2017-18,D
9555,E0,24/02/18,Brighton,Swansea,4,1,H,1.0,0.0,H,2017-18,H
9556,E0,24/02/18,Burnley,Southampton,1,1,D,0.0,0.0,D,2017-18,H
9557,E0,24/02/18,Leicester,Stoke,1,1,D,0.0,1.0,A,2017-18,H
9558,E0,24/02/18,Liverpool,West Ham,4,1,H,1.0,0.0,H,2017-18,H
9559,E0,24/02/18,Watford,Everton,1,0,H,0.0,0.0,D,2017-18,D
9560,E0,24/02/18,West Brom,Huddersfield,1,2,A,0.0,0.0,D,2017-18,A
9561,E0,25/02/18,Crystal Palace,Tottenham,0,1,A,0.0,0.0,D,2017-18,A
9562,E0,25/02/18,Man United,Chelsea,2,1,H,1.0,1.0,D,2017-18,H
9563,E0,1/3/2018,Arsenal,Man City,0,3,A,0.0,3.0,A,2017-18,A
9564,E0,3/3/2018,Burnley,Everton,2,1,H,0.0,1.0,A,2017-18,D
9565,E0,3/3/2018,Leicester,Bournemouth,1,1,D,0.0,1.0,A,2017-18,D
9566,E0,3/3/2018,Liverpool,Newcastle,2,0,H,1.0,0.0,H,2017-18,H
9567,E0,3/3/2018,Southampton,Stoke,0,0,D,0.0,0.0,D,2017-18,D
9568,E0,3/3/2018,Swansea,West Ham,4,1,H,2.0,0.0,H,2017-18,D
9569,E0,3/3/2018,Tottenham,Huddersfield,2,0,H,1.0,0.0,H,2017-18,H
9570,E0,3/3/2018,Watford,West Brom,1,0,H,0.0,0.0,D,2017-18,H
9571,E0,4/3/2018,Brighton,Arsenal,2,1,H,2.0,1.0,H,2017-18,H
9572,E0,4/3/2018,Man City,Chelsea,1,0,H,0.0,0.0,D,2017-18,H
9573,E0,5/3/2018,Crystal Palace,Man United,2,3,A,1.0,0.0,H,2017-18,A
9574,E0,10/3/2018,Chelsea,Crystal Palace,2,1,H,2.0,0.0,H,2017-18,D
9575,E0,10/3/2018,Everton,Brighton,2,0,H,0.0,0.0,D,2017-18,H
9576,E0,10/3/2018,Huddersfield,Swansea,0,0,D,0.0,0.0,D,2017-18,A
9577,E0,10/3/2018,Man United,Liverpool,2,1,H,2.0,0.0,H,2017-18,H
9578,E0,10/3/2018,Newcastle,Southampton,3,0,H,2.0,0.0,H,2017-18,H
9579,E0,10/3/2018,West Brom,Leicester,1,4,A,1.0,1.0,D,2017-18,A
9580,E0,10/3/2018,West Ham,Burnley,0,3,A,0.0,0.0,D,2017-18,A
