Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;SJH;SJD;SJA;VCH;VCD;VCA
08.11.2006;Bayern Munich;Hannover;0;1;A;12;60;130;12;575;105;123;55;120;125;48;95;125;45;100;122;50;120;122;48;100;122;50;120;12;55;95
08.11.2006;Bielefeld;Hertha;2;2;D;24;325;28;255;315;255;24;32;28;24;31;27;24;325;25;23;325;28;237;287;28;22;32;30;235;31;265
08.11.2006;Bochum;Leverkusen;1;3;A;28;325;24;295;325;22;30;325;23;27;31;24;26;32;237;28;33;225;28;30;23;288;325;225;28;32;22
08.11.2006;Cottbus;Ein Frankfurt;0;1;A;20;33;36;195;31;375;205;325;35;21;31;32;19;325;34;205;32;33;205;31;32;22;32;30;20;32;33
08.11.2006;M'gladbach;Schalke 04;0;2;A;27;325;25;255;315;255;28;32;24;27;31;24;25;32;25;265;325;24;262;31;237;275;30;25;26;31;24
10.11.2006;Werder Bremen;Dortmund;1;3;A;144;40;75;145;385;665;148;375;70;15;37;57;144;36;65;15;36;625;144;35;70;14;42;70;145;375;60
11.11.2006;Ein Frankfurt;Bielefeld;0;3;A;20;32;375;195;30;395;205;32;36;20;32;33;19;32;35;21;32;32;21;287;33;18;325;42;20;31;35
11.11.2006;Hamburg;M'gladbach;1;1;D;172;36;45;16;355;515;172;35;475;17;34;43;18;325;375;165;34;50;18;31;40;175;30;50;17;33;435
11.11.2006;Hertha;Bochum;3;3;D;144;40;75;14;41;72;15;375;675;145;39;60;144;36;65;145;375;70;15;34;60;144;38;70;14;375;70
11.11.2006;Leverkusen;Bayern Munich;2;3;A;32;325;22;34;325;20;315;325;22;30;31;22;275;32;225;30;33;215;30;31;215;288;325;225;30;32;21
11.11.2006;Schalke 04;Mainz;4;0;H;144;40;75;14;41;72;14;40;85;14;38;70;14;375;70;14;40;75;14;375;70;136;40;85;135;375;85
11.11.2006;Wolfsburg;Cottbus;0;0;D;183;33;433;19;32;385;188;325;42;19;32;36;183;325;36;185;33;385;19;31;36;191;30;40;185;32;375
12.11.2006;Aachen;Nurnberg;1;1;D;237;325;287;255;315;255;25;32;275;24;31;27;237;32;26;235;32;275;237;29;28;275;30;25;235;31;265
12.11.2006;Hannover;Stuttgart;1;2;A;29;32;237;29;32;225;315;325;22;27;31;24;34;325;19;295;325;22;35;32;19;32;32;21;30;32;21
17.11.2006;Bochum;Ein Frankfurt;4;3;H;23;325;30;23;305;295;235;32;29;23;31;28;237;32;26;24;32;27;23;29;29;238;30;288;235;29;28
18.11.2006;Aachen;Werder Bremen;2;2;D;55;38;157;45;345;17;525;36;165;43;34;17;50;35;157;50;36;16;55;33;157;65;40;144;45;36;16
18.11.2006;Bayern Munich;Stuttgart;2;1;H;157;36;60;16;35;525;16;36;575;165;35;45;157;35;50;16;36;50;161;33;50;162;35;50;16;33;50
18.11.2006;Cottbus;Schalke 04;2;4;A;36;33;20;32;32;21;36;32;205;32;31;21;32;32;20;32;325;21;33;30;205;30;32;22;325;32;20
18.11.2006;Dortmund;Hertha;1;2;A;20;32;375;21;30;345;21;32;35;21;31;32;20;32;32;215;33;30;21;28;34;183;325;40;20;31;34
18.11.2006;Mainz;Hamburg;0;0;D;275;32;25;27;31;245;29;31;24;27;31;24;26;32;237;255;32;25;262;29;25;275;32;238;275;32;225
18.11.2006;Nurnberg;Leverkusen;3;2;H;24;32;287;235;30;295;23;32;30;24;31;27;225;32;275;235;325;27;237;29;28;23;32;28;23;31;28
19.11.2006;Bielefeld;Wolfsburg;0;0;D;21;325;34;19;33;37;195;325;38;20;32;33;19;325;34;19;325;375;20;30;34;191;325;375;19;32;35
19.11.2006;M'gladbach;Hannover;0;1;A;20;32;375;195;325;36;19;33;40;20;32;33;18;33;375;19;325;375;195;30;36;18;32;433;185;32;375
24.11.2006;Schalke 04;Bochum;2;1;H;14;45;75;138;425;75;135;45;85;14;40;65;133;40;80;135;45;75;136;375;80;133;433;85;135;40;75
25.11.2006;Ein Frankfurt;Dortmund;1;1;D;25;32;275;265;29;265;25;31;28;24;31;27;237;32;26;255;315;255;24;29;275;238;32;275;25;29;265
25.11.2006;Hamburg;Bayern Munich;1;2;A;40;325;19;405;32;185;40;325;19;36;32;19;375;325;18;36;335;19;375;32;183;433;288;191;375;32;185
25.11.2006;Hannover;Mainz;1;0;H;19;325;40;185;33;39;18;325;45;18;32;40;18;325;375;185;325;40;19;30;375;173;32;475;185;32;375
25.11.2006;Hertha;Aachen;2;1;H;157;38;55;15;375;60;152;375;65;155;37;50;15;34;60;15;375;60;153;35;55;15;40;55;15;36;55
25.11.2006;Werder Bremen;Bielefeld;3;0;H;14;433;75;145;385;665;145;40;70;145;39;60;14;375;70;14;40;75;14;36;75;15;375;60;145;36;65
25.11.2006;Wolfsburg;Nurnberg;1;1;D;23;325;30;235;30;295;225;31;32;22;30;31;20;32;32;225;325;288;22;30;30;21;32;325;21;31;31
26.11.2006;Leverkusen;Cottbus;3;1;H;157;36;60;16;365;50;165;35;525;165;35;45;166;325;45;157;36;55;161;33;50;167;34;50;155;33;55
26.11.2006;Stuttgart;M'gladbach;1;0;H;153;36;65;145;385;665;145;40;70;145;39;60;144;35;70;145;40;625;15;34;60;153;36;60;145;36;65
01.12.2006;Mainz;Stuttgart;0;0;D;40;325;19;36;335;19;38;33;195;36;32;19;40;34;172;375;325;19;36;31;19;433;35;17;375;32;185
02.12.2006;Bayern Munich;M'gladbach;1;1;D;122;55;130;12;62;95;12;60;130;12;52;110;122;50;100;118;55;130;122;48;100;118;55;150;12;55;90
02.12.2006;Bielefeld;Leverkusen;0;0;D;237;32;29;24;32;27;24;325;28;23;31;28;22;325;275;24;325;265;225;30;287;22;325;30;235;31;265
02.12.2006;Bochum;Hamburg;2;1;H;275;32;25;255;315;255;26;325;26;25;31;26;237;32;26;255;315;255;25;29;262;24;325;262;26;30;25
02.12.2006;Cottbus;Hannover;0;1;A;237;32;29;22;31;31;225;32;31;22;31;30;22;325;275;22;325;295;225;30;287;24;30;288;23;30;29
02.12.2006;Dortmund;Wolfsburg;1;0;H;18;34;433;17;345;45;175;34;475;18;32;40;172;32;433;175;33;435;18;30;42;18;32;433;18;29;45
02.12.2006;Werder Bremen;Hertha;3;1;H;161;36;55;155;35;59;16;36;575;16;36;48;157;35;50;16;36;50;161;33;50;157;35;55;16;34;50
