,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeElo,AwayElo,HomeAttack,HomeDefend,AwayAttack,AwayDefend,HomeAttackOld,HomeDefendOld,AwayAttackOld,AwayDefendOld,HomeEloOld,AwayEloOld
65,21.10.2006,Bielefeld,Mainz,1.0,0.0,H,0.0,0.0,D,16.0,14.0,5.0,6.0,10.0,20.0,3.0,2.0,2.0,3.0,0.0,0.0,28,-8,1.378429734925703,-0.6631011812332872,0.4982655345568219,-1.5234966319304704,1.7881436874959036,-1.246930908280774,0.9298450915375724,-1.9132805580738932,19.215355917551754,0.9418011249837814
66,21.10.2006,Hertha,M'gladbach,2.0,1.0,H,0.0,0.0,D,18.0,7.0,13.0,4.0,16.0,21.0,5.0,2.0,0.0,1.0,0.0,0.0,52,41,2.009455756571697,-1.7466954848321166,1.4092108909093497,-1.723451778515937,1.9270120099026826,-2.355528080215663,1.8040765224213828,-1.5594139969398384,42.10163556016575,51.93685917079698
67,21.10.2006,Schalke 04,Hannover,2.0,1.0,H,2.0,0.0,H,8.0,4.0,4.0,2.0,24.0,26.0,3.0,2.0,3.0,4.0,0.0,0.0,42,-26,1.7581355386497535,-1.161142931553286,1.1075594568536928,-1.7693730364790525,1.5295416550588925,-1.2986934339405707,1.2043237172765657,-1.5826239660964347,34.25655252208103,-17.70461164610342
68,21.10.2006,Werder Bremen,Bayern Munich,3.0,1.0,H,2.0,1.0,H,15.0,13.0,8.0,7.0,14.0,23.0,7.0,4.0,1.0,2.0,0.0,0.0,45,26,3.7912176194532776,-0.5410379221993935,1.9024960088083844,-1.8611231947777327,3.9331563182322498,-0.5361009152256884,2.352201198533294,-1.3360406355350278,26.257251536550292,45.780437032504956
69,21.10.2006,Wolfsburg,Stuttgart,1.0,1.0,D,1.0,1.0,D,13.0,11.0,7.0,5.0,12.0,16.0,4.0,11.0,1.0,0.0,0.0,0.0,0,9,0.7677847598864673,-1.2934455307753296,1.914688212459808,-0.9840054958089723,0.6140487648726776,-1.7739508984586791,2.5221902460907586,-0.9279657452716492,0.5088879940592275,9.762383486786522
70,22.10.2006,Ein Frankfurt,Nurnberg,2.0,2.0,D,1.0,1.0,D,17.0,11.0,8.0,7.0,15.0,18.0,5.0,1.0,0.0,3.0,0.0,0.0,18,10,1.779748873394965,-1.6348583076487557,1.3719039144214094,-1.202426585890521,1.3835646598527092,-1.2001768771588104,0.9220179246040061,-0.6798323121038266,18.505048310279925,9.958347924794076
71,22.10.2006,Leverkusen,Hamburg,1.0,2.0,A,1.0,0.0,H,13.0,14.0,2.0,9.0,16.0,21.0,8.0,4.0,1.0,1.0,0.0,0.0,29,3,1.0334922748570534,-2.1156107206088564,1.418095954751493,-1.4353716194502795,1.194246248989657,-2.003392287319002,1.0920756717241602,-1.7032930460918578,41.170083531427004,-8.298332765677584
72,27.10.2006,Mainz,Werder Bremen,1.0,6.0,A,0.0,3.0,A,15.0,16.0,9.0,12.0,21.0,19.0,4.0,3.0,1.0,0.0,0.0,0.0,-7,53,0.7437862188230895,-3.4782831925248843,4.934725613092688,-0.7451754240217348,0.4982655345568219,-1.5234966319304704,3.7912176194532776,-0.5410379221993935,0.9418011249837814,45.08746257556144
73,28.10.2006,Bayern Munich,Ein Frankfurt,2.0,0.0,H,2.0,0.0,H,19.0,12.0,12.0,8.0,15.0,13.0,5.0,3.0,0.0,0.0,0.0,1.0,61,2,1.9847027170491458,-0.9407333875617123,0.994751372426639,-1.773698602649329,1.9024960088083844,-1.8611231947777327,1.779748873394965,-1.6348583076487557,45.780437032504956,18.259104106373503
74,28.10.2006,Bochum,Wolfsburg,0.0,1.0,A,0.0,1.0,A,20.0,17.0,13.0,8.0,14.0,19.0,12.0,3.0,2.0,2.0,1.0,0.0,-27,10,0.25955470170682204,-2.0227875640433286,0.727017029423626,-0.7759591190212283,0.6739766288859812,-2.5900170544466192,0.7677847598864673,-1.2934455307753296,-17.650525006539826,0.7751620459249344
75,28.10.2006,Cottbus,Hertha,2.0,0.0,H,0.0,0.0,D,19.0,11.0,7.0,4.0,22.0,21.0,6.0,1.0,2.0,4.0,0.0,1.0,28,32,1.9000844606834733,-0.8455762025563587,1.1502128225377657,-1.8541741204346387,1.7894742340599805,-1.7548130754045133,2.009455756571697,-1.7466954848321166,7.745047822268425,52.38464046019068
